区域,题目,解锁时间,通过时间,花费时间,错误提交数,里程碑提交数,正确提交数
短小的 校园寻宝,HELLO US-TC,2025-10-06 20:00:00,2025-10-06 20:37:16,0:37:16,0,3,1
短小的 校园寻宝,一岁一枯荣,2025-10-06 20:00:00,2025-10-06 20:42:45,0:42:45,0,0,1
短小的 校园寻宝,彩虹上的彩虹,2025-10-06 20:37:16,2025-10-09 00:45:37,52:08:21,0,0,1
短小的 校园寻宝,素质这一块,2025-10-08 23:12:47,2025-10-10 10:56:14,35:43:27,1,1,1
短小的 校园寻宝,你这辈子就是被单表害了,2025-10-08 23:12:47,2025-10-09 15:55:53,16:43:06,1,0,1
短小的 校园寻宝,豆知识,2025-10-09 00:45:37,2025-10-09 01:46:58,1:01:21,0,0,1
短小的 校园寻宝,终点,2025-10-06 20:42:45,2025-10-06 20:44:43,0:01:58,0,0,1
短小的 校园寻宝,起点,2025-10-09 01:46:58,2025-10-09 16:19:00,14:32:02,3,1,1
简单的 校园寻宝,没米了！,2025-10-06 20:44:43,2025-10-06 20:59:20,0:14:37,0,1,1
简单的 校园寻宝,什么跟什么？,2025-10-06 20:44:43,2025-10-06 21:05:20,0:20:37,0,0,1
简单的 校园寻宝,将士激昂,2025-10-06 20:59:20,2025-10-06 22:13:24,1:14:04,1,0,1
简单的 校园寻宝,阿Q小D,2025-10-06 21:05:20,2025-10-09 00:57:25,51:52:05,5,1,1
简单的 校园寻宝,强多有多强,2025-10-09 00:31:48,2025-10-12 02:21:25,73:49:37,1,0,1
简单的 校园寻宝,并非模板,2025-10-09 00:31:48,2025-10-09 16:31:49,16:00:01,2,0,1
简单的 校园寻宝,LA 在玩 maimai,2025-10-09 00:57:25,2025-10-12 13:16:45,84:19:20,21,0,1
简单的 校园寻宝,Local Alchemy,2025-10-09 16:31:49,2025-10-14 10:48:50,114:17:01,4,1,1
简单的 校园寻宝,移位诡计,2025-10-06 22:13:24,2025-10-07 01:05:51,2:52:27,1,0,1
简单的 校园寻宝,歌颂重生,2025-10-12 02:21:25,2025-10-12 14:16:34,11:55:09,1,0,1
普通的 校园寻宝,坏时光,2025-10-07 01:05:51,2025-10-07 01:13:18,0:07:27,0,0,1
普通的 校园寻宝,混乱诗歌,2025-10-07 01:05:51,2025-10-09 13:55:47,60:49:56,0,0,1
普通的 校园寻宝,满园春色关不住,2025-10-07 01:13:18,2025-10-07 02:34:46,1:21:28,0,0,1
普通的 校园寻宝,出题人的10000个马甲,2025-10-07 02:34:46,2025-10-07 11:32:40,8:57:54,5,0,1
普通的 校园寻宝,评分标准,2025-10-09 01:20:35,2025-10-13 14:20:56,109:00:21,1,0,1
普通的 校园寻宝,我题呢？,2025-10-09 01:20:35,2025-10-10 17:42:34,40:21:59,0,0,1
普通的 校园寻宝,Red and Blue,2025-10-09 13:55:47,2025-10-13 02:20:02,84:24:15,8,2,1
普通的 校园寻宝,诞生,2025-10-10 17:42:34,2025-10-10 19:36:17,1:53:43,1,0,1
普通的 校园寻宝,特征筛选,2025-10-07 11:32:40,2025-10-07 11:44:09,0:11:29,0,0,1
普通的 校园寻宝,要按下按钮吗？,2025-10-10 19:36:17,2025-10-10 21:32:50,1:56:33,1,0,1
困难的 校园寻宝,关注点,2025-10-07 11:44:09,2025-10-07 15:02:40,3:18:31,0,0,1
困难的 校园寻宝,推箱子,2025-10-07 11:44:09,2025-10-07 12:26:28,0:42:19,0,0,1
困难的 校园寻宝,エラートレイン,2025-10-07 12:26:28,2025-10-07 12:59:38,0:33:10,2,1,1
困难的 校园寻宝,失意的作曲家,2025-10-07 12:59:38,2025-10-07 18:21:39,5:22:01,4,0,1
困难的 校园寻宝,大厦混战！,2025-10-07 15:02:40,2025-10-07 16:35:11,1:32:31,0,0,1
困难的 校园寻宝,光合作用,2025-10-09 01:52:16,2025-10-13 22:20:48,116:28:32,1,0,1
困难的 校园寻宝,作者的独白,2025-10-09 01:52:16,2025-10-10 01:56:53,24:04:37,2,0,1
困难的 校园寻宝,Travel Maker,2025-10-09 01:52:16,2025-10-14 01:21:14,119:28:58,32,0,1
困难的 校园寻宝,Chat，你的人工智障助手,2025-10-10 01:56:53,2025-10-10 02:27:21,0:30:28,0,0,1
困难的 校园寻宝,风水轮流转,2025-10-10 02:27:21,2025-10-10 12:33:43,10:06:22,15,0,1
困难的 校园寻宝,过眼云烟,2025-10-07 16:35:11,2025-10-07 18:48:01,2:12:50,4,1,1
困难的 校园寻宝,欧式战争,2025-10-10 12:33:43,2025-10-10 16:10:25,3:36:42,2,1,1
崩坏的 校园寻宝,几面间谍,2025-10-07 18:48:01,2025-10-08 11:30:30,16:42:29,42,19,1
崩坏的 校园寻宝,千点谜,2025-10-07 18:48:01,2025-10-07 21:48:13,3:00:12,6,0,1
崩坏的 校园寻宝,海啸,2025-10-07 18:48:01,2025-10-14 00:16:45,149:28:44,12,3,1
崩坏的 校园寻宝,流星雨,2025-10-07 21:48:13,2025-10-10 14:17:20,64:29:07,10,7,1
崩坏的 校园寻宝,数据删除,2025-10-09 11:00:18,2025-10-10 00:21:32,13:21:14,7,7,1
崩坏的 校园寻宝,心跳谜学部,2025-10-10 00:21:32,2025-10-13 19:31:15,91:09:43,9,2,1
