(-8.977041503, 102.6080539)
(-84.70572736, -55.00854254)
(108.4204429, -35.22793736)
(105.6989594, 42.70515165)
(-1000, 96.15384615)
(101.2507385, 130.3860936)
(130.4547683, 52.70714769)
(74.56371959, 134.516511)
(-85.19181261, 59.65194938)
(-200, 90.90909091)
(-105.7622342, -26.36948662)
(113.9305543, -3.978542624)
(-107.6104084, 98.99494937)
(166.6666667, 91.74311927)
(-107.3405795, 98.95453501)
(163.9344262, 90.90909091)
(107.4709263, -98.99494937)
(18.23305866, 103.4048141)
(100.233253, 130.2557727)
(107.3312629, -98.94442885)
(100.233253, 130.516545)
(-57.11736394, 156.9286677)
(99.93300385, 130.503494)
(243.902439, 90.90909091)
(-92.9709902, 39.46384398)
(149.2537313, 90.90909091)
(108.7641778, 105.0323456)
(133.2900821, 18.73269939)
(-500, 96.15384615)
(107.7032961, -99.04544412)
(107.9120012, 98.99494937)
(115.0035134, 86.66136333)
(-102.4625213, -49.97431073)
(-1000, 92.59259259)
(-120.8705565, 125.1651253)
(53.51975816, 100.6560256)
(-107.5127899, 98.99494937)
(107.7032961, -98.99494937)
(-263.1578947, 98.03921569)
(1428.571429, 85.47008547)
(107.74971, 98.94442885)
(107.3359213, -98.94948206)
(15.86573351, -112.8905598)
(-107.7543503, -98.99494937)
(-39.33369231, 97.35430473)
(-156.9238032, 90.6)
(38.99029634, 107.1249588)
(61.28953091, 102.0029088)
(7.603455638, -108.7344815)
(142.8571429, 97.08737864)
(16.99632813, 161.7092602)
(107.5778788, 99.03029839)
(107.0233619, -98.96464015)
(-115.3514035, 33.0764827)
(-89.83322591, 70.18540819)
(-81.15780485, -87.03109049)
(1000, 83.33333333)
(-28.82559749, 163.478087)
(-107.7032961, -99.00505038)
(-37.40936034, 162.0377418)
(-30.04447178, 104.7775249)
(101.1293105, 130.268799)
(107.5174404, -98.99494937)
(-107.9259005, 98.99494937)
(2000, 86.95652174)
(-92.66467852, 47.21501197)
(142.8571429, 93.45794393)
(-833.3333333, 90.90909091)
(100.2232302, 130.2427478)
(-75.71776238, -78.40803824)
(100.3435703, 130.3991329)
(117.794064, 82.48029155)
(-107.0373766, 98.97979592)
(-322.5806452, 91.74311927)
(22.6017116, 160.8195344)
(100.3335364, 130.3860936)
(100.233253, 130.268799)
(100.5444582, 130.503494)
(107.4895344, -98.99494937)
(-82.25945753, 61.98694738)
(134.0739268, 40.990513)
(144.9275362, 100)
(100.022984, 130.516545)
(-135.8962842, 114.030522)
(107.4802307, 98.99494937)
(-108.9336001, 3.804045141)
(107.4569681, -98.99494937)
(-32.8823836, 95.49737614)
(-107.4616211, 98.99494937)
(-102.0029088, -61.28953091)
(72.25167351, 135.8856345)
(100.2432768, 130.268799)
(44.95279121, 111.2620625)
(-102.8588421, -5.390603493)
(-97.96855105, 47.782455)
(-107.2380529, -98.98484733)
(-909.0909091, 90.90909091)
(100.9324781, 28.94192236)
(222.2222222, 95.23809524)
(107.8888317, 98.99494937)
(107.6707946, 99.03029839)
(153.8461538, 100)
(-91.92533317, 77.13451316)
(107.6011152, 99.00505038)
(133.4974574, 16.39142669)
(11.35635393, 162.4034274)
(7.952238007, 113.7223017)
(344.8275862, 100)
(-107.3778376, -98.97979592)
(-107.452315, 98.99494937)
(-102.6080539, 8.977041503)
(2000, 95.23809524)
(-333.3333333, 90.90909091)
(26.14072356, -97.55850846)
(100.8465445, 130.503494)
(-53.56395979, 89.14539927)
(333.3333333, 91.74311927)
(-22.6623743, -106.6180885)
(333.3333333, 99.00990099)
(1428.571429, 97.08737864)
(84.14570696, -84.14570696)
(-107.2567014, -98.97474425)
(94.25600985, 43.95229922)
(100.5344043, 130.503494)
(30.79946637, 114.9451733)
(-101.3344867, -23.39490965)
(79.10984831, 131.6608974)
(52.01884557, -86.57389737)
(-107.1587607, -99.03029839)
(71.61598776, -95.0376257)
(-107.2380529, 98.94948206)
(-76.06078497, 70.92782945)
(-97.38841329, -33.53351991)
(476.1904762, 100)
(-81.00278598, 72.93523609)
(-20.83778132, 118.1769304)
(107.1680923, 98.99494937)
(107.3545528, -98.96969233)
(-52.5, -90.9326674)
(99.94299765, 130.2427478)
(107.893466, -98.99494937)
(81.00278598, 72.93523609)
(3333.333333, 93.45794393)
(-84.95, 147.1377161)
(-110.6137128, 27.5790961)
